host,gpu,cpu,ncores,case,target,ncells,arm,iters_asked,iters_done,wall_s,ms_per_iter,ns_per_cell,status
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,petsc,100,100,112.151,1121.51,1251.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,brae,100,100,39.016,390.16,54.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,of,100,100,67.982,679.82,94.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,amgx,100,100,936.472,9364.72,1306.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,petsc,100,100,972.204,9722.04,1356.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,brae,100,100,0.716,7.16,255.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,of,100,100,0.869,8.69,310.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,amgx,100,100,4.155,41.55,1483.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,petsc,100,100,5.294,52.94,1890.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,brae,100,100,3.519,35.19,80.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,of,100,100,3.382,33.82,77.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,amgx,100,100,48.274,482.74,1103.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,petsc,100,100,51.799,517.99,1184.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,brae,100,100,23.009,230.09,65.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,of,100,100,34.090,340.90,97.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,amgx,100,100,445.400,4454.00,1272.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,petsc,100,100,467.274,4672.74,1335.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,brae,100,100,1.382,13.82,185.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,of,100,100,1.503,15.03,201.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,amgx,100,100,14.114,141.14,1890.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,petsc,100,100,13.549,135.49,1815.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,brae,100,100,5.083,50.83,88.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,of,100,100,5.541,55.41,96.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,amgx,100,100,109.987,1099.87,1916.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,petsc,100,100,110.136,1101.36,1919.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,brae,100,100,21.508,215.08,83.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,of,100,100,33.830,338.30,131.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,amgx,100,100,587.436,5874.36,2280.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,petsc,100,100,580.251,5802.51,2252.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,24000000,24192000,brae,100,100,166.296,1662.96,68.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,24000000,24192000,of,100,100,336.717,3367.17,139.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,24000000,24192000,brae,100,100,131.288,1312.88,54.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,24000000,24192000,of,100,100,242.741,2427.41,100.3,ok
